size      list       map
   10000 0.0116310 0.0002707
   30000 0.0090128 0.0002382
   50000 0.0185371 0.0002280
   70000 0.0396110 0.0001977
   90000 0.0350540 0.0001016
  110000 0.0851546 0.0000972
  130000 0.0456018 0.0001195
  150000 0.0577704 0.0001431
  170000 0.0639894 0.0002486
  190000 0.0834013 0.0001090
  210000 0.0753000 0.0001390
  230000 0.0859489 0.0001123
  250000 0.1029419 0.0001298
  270000 0.1288936 0.0001338
  290000 0.1599491 0.0001212
  310000 0.1848975 0.0001281
  330000 0.1645247 0.0001218
  350000 0.1851885 0.0001253
  370000 0.1610095 0.0001347
  390000 0.2223023 0.0001432
  410000 0.1762925 0.0001509
  430000 0.2851296 0.0001434
  450000 0.2709927 0.0001393
  470000 0.2614506 0.0001587
  490000 0.2836951 0.0001316
  510000 0.3101913 0.0001496
  530000 0.3157479 0.0001378
  550000 0.3486013 0.0001535
  570000 0.3203923 0.0001350
  590000 0.3521423 0.0001367
  610000 0.4081459 0.0001363
  630000 0.4556595 0.0001560
  650000 0.4463322 0.0001423
  670000 0.4527197 0.0001501
  690000 0.5612675 0.0001420
  710000 0.5104306 0.0001524
  730000 0.4512295 0.0001566
  750000 0.4993611 0.0001746
  770000 0.5239736 0.0001426
  790000 0.5923942 0.0001646
  810000 0.4356572 0.0001378
  830000 0.4642430 0.0001726
  850000 0.5228681 0.0001426
  870000 0.4886110 0.0001561
  890000 0.5460181 0.0001412
  910000 0.5599173 0.0001554
  930000 0.6384708 0.0001520
  950000 0.5721313 0.0001542
  970000 0.6112919 0.0001665
  990000 0.6597868 0.0001645
